Country,DepressionRate
Greece,6.52
Spain,6.04
Portugal,5.88
Palestine,5.75
Tunisia,5.75
Bahrain,5.52
Morocco,5.49
Iran,5.48
Lithuania,5.42
Ukraine,5.25
